"feature_name,feature_type,description,homology_dimension,extractor_type"
"age,clinical,Age in years,,"
"sex,clinical,Sex (0=Female, 1=Male),,"
"bmi,clinical,Body mass index (kg/m_),,"
"copd_etiology,clinical,COPD etiology (0=No, 1=Yes),,"
"ild_etiology,clinical,ILD etiology (0=No, 1=Yes),,"
"cf_etiology,clinical,Cystic fibrosis etiology (0=No, 1=Yes),,"
"diabetes,clinical,Diabetes mellitus (0=No, 1=Yes),,"
"cad,clinical,Coronary artery disease (0=No, 1=Yes),,"
"mpap,clinical,Mean pulmonary arterial pressure (mmHg),,"
"cmv_mismatch,clinical,CMV mismatch (Recipient -/Donor +),,"
"preop_ecmo,clinical,Pre-operative ECMO (0=No, 1=Yes),,"
"helt,clinical,High emergency lung transplantation (0=No, 1=Yes),,"
"double_lt,clinical,Double lung transplantation (0=Single, 1=Double),,"
"cold_ischemia_time,clinical,Cold ischemia time (minutes),,"
"tea,clinical,Thoracic epidural analgesia (0=No, 1=Yes),,"
"intraop_ecmo,clinical,Intraoperative ECMO (0=No, 1=Yes),,"
"intraop_transfusion,clinical,Intraoperative transfusion >2 RBC units (0=No, 1=Yes),,"
"sofa_day0,clinical,SOFA score at ICU admission,,"
"saps2_day0,clinical,SAPS2 score at ICU admission,,"
"ne_duration,clinical,Norepinephrine duration (days),,"
"mv_duration,clinical,Mechanical ventilation duration (days),,"
"icu_los,clinical,ICU length of stay (days),,"
"ecmo_duration,clinical,ECMO duration (days),,"
"grade3_pgd,clinical,Grade 3 primary graft dysfunction (0=No, 1=Yes),,"
"acute_renal_failure,clinical,Acute renal failure (0=No, 1=Yes),,"
"rrt,clinical,Renal replacement therapy (0=No, 1=Yes),,"
"bacteremia,clinical,Bacteremia (0=No, 1=Yes),,"
"pneumonia,clinical,Pneumonia (0=No, 1=Yes),,"
"vap_esbl_pa,clinical,VAP due to ESBL/PA (0=No, 1=Yes),,"
"pleural_empyema,clinical,Pleural empyema (0=No, 1=Yes),,"
"bad,clinical,Bronchial anastomosis dehiscence (0=No, 1=Yes),,"
"bronchial_stenosis,clinical,Bronchial stenosis (0=No, 1=Yes),,"
"acr,clinical,Acute cellular rejection (0=No, 1=Yes),,"
"amr,clinical,Antibody-mediated rejection (0=No, 1=Yes),,"
"tracheotomy,clinical,Tracheotomy (0=No, 1=Yes),,"
"h0_n_points,topological,Number of points H0,0,number_of_points"
"h0_entropy,topological,Persistence entropy H0,0,persistence_entropy"
"h0_bottleneck,topological,Bottleneck amplitude H0,0,bottleneck"
"h0_wasserstein,topological,Wasserstein amplitude H0,0,wasserstein"
"h0_landscape,topological,Landscape amplitude H0,0,landscape"
"h0_betti,topological,Betti curve amplitude H0,0,betti_curve"
"h0_heat,topological,Heat kernel amplitude H0,0,heat_kernel"
"h0_silhouette,topological,Silhouette amplitude H0,0,silhouette"
"h0_image,topological,Persistence image amplitude H0,0,persistence_image"
"h1_n_points,topological,Number of points H1,1,number_of_points"
"h1_entropy,topological,Persistence entropy H1,1,persistence_entropy"
"h1_bottleneck,topological,Bottleneck amplitude H1,1,bottleneck"
"h1_wasserstein,topological,Wasserstein amplitude H1,1,wasserstein"
"h1_landscape,topological,Landscape amplitude H1,1,landscape"
"h1_betti,topological,Betti curve amplitude H1,1,betti_curve"
"h1_heat,topological,Heat kernel amplitude H1,1,heat_kernel"
"h1_silhouette,topological,Silhouette amplitude H1,1,silhouette"
"h1_image,topological,Persistence image amplitude H1,1,persistence_image"
"h2_n_points,topological,Number of points H2,2,number_of_points"
"h2_entropy,topological,Persistence entropy H2,2,persistence_entropy"
"h2_bottleneck,topological,Bottleneck amplitude H2,2,bottleneck"
"h2_wasserstein,topological,Wasserstein amplitude H2,2,wasserstein"
"h2_landscape,topological,Landscape amplitude H2,2,landscape"
"h2_betti,topological,Betti curve amplitude H2,2,betti_curve"
"h2_heat,topological,Heat kernel amplitude H2,2,heat_kernel"
"h2_silhouette,topological,Silhouette amplitude H2,2,silhouette"
"h2_image,topological,Persistence image amplitude H2,2,persistence_image"
